Constituency Code,Constituency Name,ID,COMPANY,Company type,Note,website,Percentage of constituency's properties in this area
E14000786,Lewes,SEW,South East Water,regional water only company,,https://www.southeastwater.co.uk/,79.4%
E14000786,Lewes,SRN,Southern Water,regional water and sewerage company,,https://www.southernwater.co.uk/,20.6%
E14000787,Lewisham East,TMS,Thames Water,regional water and sewerage company,,https://www.thameswater.co.uk/,100.0%
E14000788,Lewisham West and Penge,TMS,Thames Water,regional water and sewerage company,,https://www.thameswater.co.uk/,100.0%
E14000789,"Lewisham, Deptford",TMS,Thames Water,regional water and sewerage company,,https://www.thameswater.co.uk/,99.1%
E14000789,"Lewisham, Deptford",SSE,Leep Networks (Water),small new entrant water/sewerage company (sometimes referred to as a NAV),New entrant (NAV) company,https://www.leeputilities.co.uk/water,0.9%
E14000790,Leyton and Wanstead,TMS,Thames Water,regional water and sewerage company,,https://www.thameswater.co.uk/,100.0%
E14000791,Lichfield,SSC,South Staffordshire Water,regional water only company,,https://www.south-staffs-water.co.uk/,100.0%
E14000792,Lincoln,ANH,Anglian Water,regional water and sewerage company,,https://www.anglianwater.co.uk/,100.0%
E14000793,"Liverpool, Riverside",UUW,United Utilities,regional water and sewerage company,,https://www.unitedutilities.com/,100.0%
E14000794,"Liverpool, Walton",UUW,United Utilities,regional water and sewerage company,,https://www.unitedutilities.com/,100.0%
E14000795,"Liverpool, Wavertree",UUW,United Utilities,regional water and sewerage company,,https://www.unitedutilities.com/,100.0%
E14000796,"Liverpool, West Derby",UUW,United Utilities,regional water and sewerage company,,https://www.unitedutilities.com/,100.0%
E14000797,Loughborough,SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,100.0%
E14000798,Louth and Horncastle,ANH,Anglian Water,regional water and sewerage company,,https://www.anglianwater.co.uk/,100.0%
E14000799,Ludlow,SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,100.0%
E14000799,Ludlow,WSH,Dŵr Cymru,regional water and sewerage company,,https://www.dwrcymru.com/en,0.0%
E14000799,Ludlow,SSC,South Staffordshire Water,regional water only company,,https://www.south-staffs-water.co.uk/,0.0%
E14000800,Luton North,AFW,Affinity Water,regional water only company,,https://www.affinitywater.co.uk/,100.0%
E14000800,Luton North,ANH,Anglian Water,regional water and sewerage company,,https://www.anglianwater.co.uk/,0.0%
E14000801,Luton South,AFW,Affinity Water,regional water only company,,https://www.affinitywater.co.uk/,100.0%
E14000802,Macclesfield,UUW,United Utilities,regional water and sewerage company,,https://www.unitedutilities.com/,100.0%
E14000802,Macclesfield,SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,0.0%
E14000803,Maidenhead,SEW,South East Water,regional water only company,,https://www.southeastwater.co.uk/,74.8%
E14000803,Maidenhead,TMS,Thames Water,regional water and sewerage company,,https://www.thameswater.co.uk/,25.2%
E14000803,Maidenhead,AFW,Affinity Water,regional water only company,,https://www.affinitywater.co.uk/,0.0%
E14000804,Maidstone and The Weald,SEW,South East Water,regional water only company,,https://www.southeastwater.co.uk/,99.2%
E14000804,Maidstone and The Weald,ICO,Icosa Water Services,small new entrant water/sewerage company (sometimes referred to as a NAV),New entrant (NAV) company,https://www.icosawater.co.uk/,0.8%
E14000805,Makerfield,UUW,United Utilities,regional water and sewerage company,,https://www.unitedutilities.com/,100.0%
E14000806,Maldon,NES,Essex & Suffolk Water (part of Northumbrian Water),regional water and sewerage company,,https://www.nwl.co.uk/,99.3%
E14000806,Maldon,IWN,Independent Water Networks,small new entrant water/sewerage company (sometimes referred to as a NAV),New entrant (NAV) company,https://www.iwnl.co.uk/,0.7%
E14000806,Maldon,ANH,Anglian Water,regional water and sewerage company,,https://www.anglianwater.co.uk/,0.0%
E14000807,Manchester Central,UUW,United Utilities,regional water and sewerage company,,https://www.unitedutilities.com/,100.0%
E14000808,"Manchester, Gorton",UUW,United Utilities,regional water and sewerage company,,https://www.unitedutilities.com/,100.0%
E14000809,"Manchester, Withington",UUW,United Utilities,regional water and sewerage company,,https://www.unitedutilities.com/,100.0%
E14000810,Mansfield,SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,100.0%
E14000811,Meon Valley,PRT,Portsmouth Water,regional water only company,,https://www.portsmouthwater.co.uk/,85.9%
E14000811,Meon Valley,SRN,Southern Water,regional water and sewerage company,,https://www.southernwater.co.uk/,11.9%
E14000811,Meon Valley,SSE,Leep Networks (Water),small new entrant water/sewerage company (sometimes referred to as a NAV),New entrant (NAV) company,https://www.leeputilities.co.uk/water,1.8%
E14000811,Meon Valley,IWN,Independent Water Networks,small new entrant water/sewerage company (sometimes referred to as a NAV),New entrant (NAV) company,https://www.iwnl.co.uk/,0.3%
E14000811,Meon Valley,SEW,South East Water,regional water only company,,https://www.southeastwater.co.uk/,0.0%
E14000812,Meriden,SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,99.6%
E14000812,Meriden,IWN,Independent Water Networks,small new entrant water/sewerage company (sometimes referred to as a NAV),New entrant (NAV) company,https://www.iwnl.co.uk/,0.4%
E14000813,Mid Bedfordshire,ANH,Anglian Water,regional water and sewerage company,,https://www.anglianwater.co.uk/,98.9%
E14000813,Mid Bedfordshire,AFW,Affinity Water,regional water only company,,https://www.affinitywater.co.uk/,1.1%
E14000814,Mid Derbyshire,SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,100.0%
E14000815,Mid Dorset and North Poole,WSX,Wessex Water,regional water and sewerage company,,https://www.wessexwater.co.uk/,68.4%
E14000815,Mid Dorset and North Poole,SWB,Bournemouth Water (part of South West Water),regional water and sewerage company,,https://www.southwestwater.co.uk/,31.6%
E14000816,Mid Norfolk,ANH,Anglian Water,regional water and sewerage company,,https://www.anglianwater.co.uk/,99.4%
E14000816,Mid Norfolk,SSE,Leep Networks (Water),small new entrant water/sewerage company (sometimes referred to as a NAV),New entrant (NAV) company,https://www.leeputilities.co.uk/water,0.6%
E14000817,Mid Sussex,SEW,South East Water,regional water only company,,https://www.southeastwater.co.uk/,99.2%
E14000817,Mid Sussex,SES,SES Water,regional water only company,,https://seswater.co.uk/,0.8%
E14000817,Mid Sussex,SRN,Southern Water,regional water and sewerage company,,https://www.southernwater.co.uk/,0.0%
E14000817,Mid Sussex,IWN,Independent Water Networks,small new entrant water/sewerage company (sometimes referred to as a NAV),New entrant (NAV) company,https://www.iwnl.co.uk/,0.0%
E14000818,Mid Worcestershire,SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,100.0%
E14000819,Middlesbrough,NES,Northumbrian Water,regional water and sewerage company,,https://www.nwl.co.uk/,100.0%
E14000820,Middlesbrough South and East Cleveland,NES,Northumbrian Water,regional water and sewerage company,,https://www.nwl.co.uk/,99.9%
E14000820,Middlesbrough South and East Cleveland,YKY,Yorkshire Water,regional water and sewerage company,,https://www.yorkshirewater.com/,0.1%
E14000821,Milton Keynes North,ANH,Anglian Water,regional water and sewerage company,,https://www.anglianwater.co.uk/,100.0%
E14000822,Milton Keynes South,ANH,Anglian Water,regional water and sewerage company,,https://www.anglianwater.co.uk/,100.0%
E14000823,Mitcham and Morden,TMS,Thames Water,regional water and sewerage company,,https://www.thameswater.co.uk/,76.2%
E14000823,Mitcham and Morden,SES,SES Water,regional water only company,,https://seswater.co.uk/,23.8%
E14000824,Mole Valley,SES,SES Water,regional water only company,,https://seswater.co.uk/,75.1%
E14000824,Mole Valley,AFW,Affinity Water,regional water only company,,https://www.affinitywater.co.uk/,16.5%
E14000824,Mole Valley,TMS,Thames Water,regional water and sewerage company,,https://www.thameswater.co.uk/,8.3%
E14000825,Morecambe and Lunesdale,UUW,United Utilities,regional water and sewerage company,,https://www.unitedutilities.com/,100.0%
E14000825,Morecambe and Lunesdale,YKY,Yorkshire Water,regional water and sewerage company,,https://www.yorkshirewater.com/,0.0%
E14000826,Morley and Outwood,YKY,Yorkshire Water,regional water and sewerage company,,https://www.yorkshirewater.com/,99.9%
E14000826,Morley and Outwood,IWN,Independent Water Networks,small new entrant water/sewerage company (sometimes referred to as a NAV),New entrant (NAV) company,https://www.iwnl.co.uk/,0.1%
E14000827,New Forest East,SRN,Southern Water,regional water and sewerage company,,https://www.southernwater.co.uk/,88.3%
E14000827,New Forest East,SWB,Bournemouth Water (part of South West Water),regional water and sewerage company,,https://www.southwestwater.co.uk/,11.7%
E14000828,New Forest West,SWB,Bournemouth Water (part of South West Water),regional water and sewerage company,,https://www.southwestwater.co.uk/,100.0%
E14000829,Newark,SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,88.6%
E14000829,Newark,ANH,Anglian Water,regional water and sewerage company,,https://www.anglianwater.co.uk/,11.4%
E14000830,Newbury,TMS,Thames Water,regional water and sewerage company,,https://www.thameswater.co.uk/,100.0%
E14000830,Newbury,SRN,Southern Water,regional water and sewerage company,,https://www.southernwater.co.uk/,0.0%
E14000831,Newcastle upon Tyne Central,NES,Northumbrian Water,regional water and sewerage company,,https://www.nwl.co.uk/,100.0%
E14000832,Newcastle upon Tyne East,NES,Northumbrian Water,regional water and sewerage company,,https://www.nwl.co.uk/,100.0%
E14000833,Newcastle upon Tyne North,NES,Northumbrian Water,regional water and sewerage company,,https://www.nwl.co.uk/,99.8%
E14000833,Newcastle upon Tyne North,IWN,Independent Water Networks,small new entrant water/sewerage company (sometimes referred to as a NAV),New entrant (NAV) company,https://www.iwnl.co.uk/,0.2%
E14000834,Newcastle-under-Lyme,SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,99.9%
E14000834,Newcastle-under-Lyme,UUW,United Utilities,regional water and sewerage company,,https://www.unitedutilities.com/,0.1%
E14000835,Newton Abbot,SWB,South West Water,regional water and sewerage company,,https://www.southwestwater.co.uk/,100.0%
E14000836,"Normanton, Pontefract and Castleford",YKY,Yorkshire Water,regional water and sewerage company,,https://www.yorkshirewater.com/,100.0%
E14000836,"Normanton, Pontefract and Castleford",IWN,Independent Water Networks,small new entrant water/sewerage company (sometimes referred to as a NAV),New entrant (NAV) company,https://www.iwnl.co.uk/,0.0%
E14000837,North Cornwall,SWB,South West Water,regional water and sewerage company,,https://www.southwestwater.co.uk/,100.0%
E14000838,North Devon,SWB,South West Water,regional water and sewerage company,,https://www.southwestwater.co.uk/,100.0%
E14000839,North Dorset,WSX,Wessex Water,regional water and sewerage company,,https://www.wessexwater.co.uk/,75.6%
E14000839,North Dorset,SWB,Bournemouth Water (part of South West Water),regional water and sewerage company,,https://www.southwestwater.co.uk/,24.4%
E14000839,North Dorset,SWB,Bournemouth Water (part of South West Water),regional water and sewerage company,,https://www.southwestwater.co.uk/,0.0%
E14000840,North Durham,NES,Northumbrian Water,regional water and sewerage company,,https://www.nwl.co.uk/,100.0%
E14000840,North Durham,IWN,Independent Water Networks,small new entrant water/sewerage company (sometimes referred to as a NAV),New entrant (NAV) company,https://www.iwnl.co.uk/,0.0%
E14000841,North East Bedfordshire,ANH,Anglian Water,regional water and sewerage company,,https://www.anglianwater.co.uk/,98.0%
E14000841,North East Bedfordshire,AFW,Affinity Water,regional water only company,,https://www.affinitywater.co.uk/,2.0%
E14000841,North East Bedfordshire,SSC,Cambridge Water (part of South Staffs Water),regional water only company,,https://www.south-staffs-water.co.uk/,0.0%
E14000841,North East Bedfordshire,IWN,Independent Water Networks,small new entrant water/sewerage company (sometimes referred to as a NAV),New entrant (NAV) company,https://www.iwnl.co.uk/,0.0%
E14000842,North East Cambridgeshire,ANH,Anglian Water,regional water and sewerage company,,https://www.anglianwater.co.uk/,100.0%
E14000842,North East Cambridgeshire,SSC,Cambridge Water (part of South Staffs Water),regional water only company,,https://www.south-staffs-water.co.uk/,0.0%
E14000843,North East Derbyshire,SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,99.9%
E14000843,North East Derbyshire,YKY,Yorkshire Water,regional water and sewerage company,,https://www.yorkshirewater.com/,0.1%
E14000844,North East Hampshire,SEW,South East Water,regional water only company,,https://www.southeastwater.co.uk/,96.3%
